gk,peng,poverty_to_expense_ratio,Cluster,daerah,jenis
293697.0,466355.0,0.6297713115545025,1,PERKOTAAN,MAKANAN
302128.0,466355.0,0.64784981398291,1,PERKOTAAN,MAKANAN
306243.0,548853.0,0.5579690736863969,1,PERKOTAAN,MAKANAN
319768.0,548853.0,0.5826113731727803,1,PERKOTAAN,MAKANAN
297479.0,395136.0,0.7528521825396826,5,PERDESAAN,MAKANAN
306737.0,395136.0,0.7762820902170392,5,PERDESAAN,MAKANAN
315697.0,412251.0,0.7657883182818235,5,PERDESAAN,MAKANAN
324854.0,412251.0,0.7880005142498139,5,PERDESAAN,MAKANAN
296406.0,415354.0,0.7136225966284182,0,PERDESAANPERKOTAAN,MAKANAN
305428.0,415354.0,0.7353438271931895,0,PERDESAANPERKOTAAN,MAKANAN
312801.0,451952.0,0.6921111091443339,0,PERDESAANPERKOTAAN,MAKANAN
323548.0,451952.0,0.7158901830282862,0,PERDESAANPERKOTAAN,MAKANAN
330153.0,610732.0,0.5405857233614745,1,PERKOTAAN,MAKANAN
347811.0,610732.0,0.5694985689303983,1,PERKOTAAN,MAKANAN
351777.0,637432.0,0.5518659245221451,1,PERKOTAAN,MAKANAN
360318.0,637432.0,0.5652650008157732,1,PERKOTAAN,MAKANAN
331267.0,494149.99999999994,0.670377415764444,5,PERDESAAN,MAKANAN
346070.0,494149.99999999994,0.7003339067084893,5,PERDESAAN,MAKANAN
353915.0,506655.99999999994,0.6985311532874376,5,PERDESAAN,MAKANAN
362463.0,506655.99999999994,0.7154025611065497,5,PERDESAAN,MAKANAN
330958.0,529160.9999999999,0.6254391385608539,0,PERDESAANPERKOTAAN,MAKANAN
346552.0,529160.9999999999,0.6549084305154764,0,PERDESAANPERKOTAAN,MAKANAN
353291.0,547667.9999999999,0.6450824221973896,0,PERDESAANPERKOTAAN,MAKANAN
361835.0,547667.9999999999,0.6606831145876699,0,PERDESAANPERKOTAAN,MAKANAN
364040.0,639421.0,0.5693275635301311,1,PERKOTAAN,MAKANAN
377620.0,639421.0,0.5905655272504344,1,PERKOTAAN,MAKANAN
398026.0,655222.0,0.6074673927310134,1,PERKOTAAN,MAKANAN
399504.0,655222.0,0.6097231167451642,1,PERKOTAAN,MAKANAN
372626.0,520759.0,0.7155440424457379,5,PERDESAAN,MAKANAN
387367.0,520759.0,0.7438508023865166,5,PERDESAAN,MAKANAN
396615.00000000006,566947.0,0.6995627457240271,5,PERDESAAN,MAKANAN
397816.0,566947.0,0.7016811095217014,5,PERDESAAN,MAKANAN
370093.0,559298.9999999999,0.6617086746087513,0,PERDESAANPERKOTAAN,MAKANAN
384381.0,559298.9999999999,0.6872549387715694,0,PERDESAANPERKOTAAN,MAKANAN
